"","city_name","population","year","river_name","xmin","ymin","xmax","ymax"
"112","Lublin",332852,2021,"Bystrzyca",22.4537881,51.1398098,22.6735425,51.2965553
"113","Katowice",282755,2021,"Rawa",18.8915418,50.1300628,19.1244247,50.2976909
"114","Białystok",293413,2021,"Biała",23.0657911,53.0665968,23.2471983,53.188599
"115","Porto",1008298,2024,"Rio Douro",-8.691289,41.1383507,-8.5519965,41.1859353
"116","Bucuresti",2131034,2018,"Colentina",25.9666745,44.3342466,26.2255768,44.5413964
"117","Cluj-Napoca",324960,2018,"Someșul Mic",23.499243,46.6899711,23.7183267,46.861832
"118","Timișoara",328186,2018,"Bega",21.1116821,45.6838246,21.2981421,45.8341735
"119","Craiova",301269,2018,"Jiu",23.7079153,44.2680756,23.9058168,44.3786461
"120","Iași",378954,2018,"Bahlui",27.4765545,47.0848238,27.692127,47.2279047
"121","Galați",304050,2018,"Prut",27.9433558,45.3905188,28.208689,45.6103724
"122","Brașov",289360,2018,"Timiș",25.5035642,45.5271158,25.6889236,45.752328
"123","Stockholm",1613975,2024,"Forsån",17.9110935,59.1651172,18.2310935,59.4851172
"124","Malmö",362133,2024,"Sege å",12.9109073,55.5479606,13.1295052,55.6520233
"125","Ljubljana",293218,2022,"Sava",14.408617,45.9740637,14.755332,46.1459968
"126","Bratislava",475577,2022,"Dunaj",16.946044,48.0066643,17.284531,48.2650685
"127","Ankara",3401573,2004,"Ankara Çayı",32.6940497,39.7607759,33.0140497,40.0807759
"128","Adana",1197332,2004,"Seyhan",35.1652861,36.8263599,35.4852861,37.1463599
"129","Antalya",689665,2004,"Düden Çayı",30.5430242,36.7265728,30.8630242,37.0465728
"130","Bursa",1336111,2004,"Orhaneli Çayı",28.0876836,39.5935135,29.9100426,40.75773
"131","Denizli",300081,2004,"Büyük Menderes",28.5690471,36.8466001,30.0831852,38.4740857
"132","Diyarbakir",609465,2004,"Dicle Nehri",40.0763542,37.7562222,40.3963542,38.0762222
"133","Erzurum",405733,2004,"Karasu",41.1127715,39.74632,41.4327715,40.06632
"134","Gaziantep",945804,2004,"Sacır Suyu",37.2192617,36.9028317,37.5392617,37.2228317
"135","Istanbul",9897599,2004,"Kâğıthane Deresi",28.8158715,40.846381,29.1358715,41.166381
"136","Izmir",2386759,2004,"Gediz Nehri",26.1707911,37.8152305,28.4930754,39.3854872
"137","Malatya",420920,2004,"Tohma Çayı",38.1590674,38.1887153,38.4790674,38.5087153
"138","London",8866541,2018,"River Thames",-0.5103751,51.2867601,0.3340155,51.6918741
"139","Birmingham",1139249,2018,"River Tame",-2.0336486,52.381053,-1.7288417,52.6087058
"140","Leeds",787020,2018,"River Aire",-1.8004214,53.6989675,-1.2903516,53.9458715
"141","Glasgow",623715,2018,"White Cart Water",-4.4101687,55.701155,-4.0901687,56.021155
"142","Bradford",535987,2018,"River Aire",-2.0612483,53.7243414,-1.6403301,53.963151
"143","Liverpool",493182,2018,"River Mersey",-3.0191726,53.3115427,-2.8180003,53.4749885
"144","Edinburgh",515855,2018,"Water of Leith",-3.4495326,55.8187919,-3.0749528,56.0040837
"145","Manchester",546564,2018,"River Mersey",-2.3199185,53.3401044,-2.1468288,53.5445923
"146","Cardiff",363502,2018,"Rhymney River",-3.3391934,51.3216546,-3.0191934,51.6416546
"147","Sheffield",580148,2018,"River Don",-1.8014715,53.3045116,-1.3246685,53.5031042
"148","Bristol",461329,2018,"River Avon",-2.7183704,51.3972838,-2.5104192,51.5444317
"149","Belfast",341049,2018,"Lagan",-6.0601981,54.5307382,-5.8076989,54.665003
"150","Newcastle upon Tyne",298019,2018,"River Tyne",-1.7756721,54.959032,-1.5292003,55.0793823
"151","Leicester",354379,2018,"River Soar",-1.2931969,52.4762,-0.9731969,52.7962
"152","Coventry",363467,2018,"River Sowe",-1.6144589,52.3639374,-1.4239574,52.4647822
"153","Kingston-upon-Hull",260659,2018,"River Hull",-0.4225751,53.7115628,-0.2413964,53.8132477
"154","Stoke-on-Trent",255606,2018,"River Trent",-2.2387603,52.9461901,-2.0792446,53.0927015
"155","Wolverhampton",260967,2018,"River Penk",-2.2068817,52.5439132,-2.0480278,52.6378947
"156","Nottingham",330139,2018,"River Trent",-1.246956,52.8890083,-1.0861189,53.0186721
"157","Wirral",323016,2018,"River Mersey",-3.2637606,53.2863611,-2.90317,53.44948
"158","Kirklees",437936,2018,"River Calder",-2.009472,53.5197297,-1.5708057,53.7648331
"159","North Lanarkshire",340070,2018,"River Clyde",-4.1945029,55.7347163,-3.711135,56.0313683
"160","Wakefield",342914,2018,"River Calder",-1.6248982,53.5753489,-1.1988145,53.7418108
"161","Dudley",320023,2018,"River Stour",-2.1919459,52.426,-2.011411,52.5582139
"162","Wigan",325369,2018,"River Douglas",-2.7305207,53.4460001,-2.4145817,53.6083107
"163","Doncaster",309741,2018,"River Don",-1.3487326,53.4057426,-0.8653331,53.6612035
"164","Stockport",291410,2018,"River Goyt",-2.2468277,53.3273147,-1.9923295,53.4549205
"165","Sefton",274993,2018,"River Alt",-3.1319423,53.4361625,-2.8812088,53.7043618
"166","Sandwell",326419,2018,"River Tame",-2.0971144,52.4607178,-1.9181631,52.5690697
"167","Sunderland",277333,2018,"River Wear",-1.5688793,54.7990424,-1.345665,54.9441703
"168","Bolton",285093,2018,"River Douglas",-2.6286157,53.5228655,-2.3370404,53.6460294
"169","Walsall",282336,2018,"River Tame",-2.0778299,52.547291,-1.8725712,52.6627637
"170","Medway",277736,2018,"Medway",0.3973174,51.3278965,0.7400923,51.5036817
"171","Rotherham",264023,2018,"River Don",-1.4567893,53.3015483,-1.1151369,53.5153079
"172","Plymouth",263085,2018,"River Plym",-4.2055324,50.3409094,-4.0196056,50.4441737
"173","Derby",257104,2018,"River Derwent",-1.556857,52.8610342,-1.3830729,52.9681324
"174","Southampton",252578,2018,"River Itchen",-1.479005,50.8715095,-1.3219862,50.9561307
"175","Salford",252870,2018,"River Mersey",-2.4897303,53.4158915,-2.2451076,53.5421391
"176","Milton Keynes",268064,2018,"River Great Ouse",-0.8630339,51.969853,-0.6402224,52.1025671
"177","Cheshire West and Chester",339244,2018,"River Weaver",-3.128278,52.9829101,-2.3463547,53.3446834
